case,group,n,metric,steps,m,profile,baseline_us,proposed_us,paired_speedup,baseline_total_ms,proposed_total_ms,total_speedup,reference_growth_factor,speedup_over_reference_factor
AES,practical,8,max,1280,8,high,8.87703125,0.8424703124999999,10.53690690139304,11.404678,1.11206,10.255452043954463,8,1.31711336267413
AES,practical,8,max,1664,8,natural,9.184169471153846,0.2637782451923077,34.817766963526964,15.327683,0.486377,31.51399634439951,8,4.3522208704408705
AES,practical,8,min,256,8,static,372.28784375,5.92023046875,62.88401198485859,95.729054,1.553096,61.63756393680752,32.0,1.965125374526831
AES,practical,8,spectrum,128,8,high,392.4195546875,14.5856328125,26.90452719687235,50.659907,2.087512,24.268079417028503,16,1.681532949804522
AES,practical,8,spectrum,256,8,natural,385.77287890625,4.529703125,85.16515724333479,99.181495,1.372089,72.28503034424152,16,5.322822327708424
CLEFIA_S0,practical,8,max,1280,8,high,9.0111671875,0.9542781250000001,9.442914965173282,11.575589,1.290939,8.966797811515494,8,1.1803643706466602
CLEFIA_S0,practical,8,max,1664,8,natural,9.078787860576924,0.23768269230769232,38.19709282333428,15.193194,0.429233,35.39614614906124,8,4.774636602916785
CLEFIA_S0,practical,8,min,256,8,static,328.619484375,6.32594140625,51.94791783090585,84.642619,1.655301,51.13427648506224,32.0,1.6233724322158078
CLEFIA_S0,practical,8,spectrum,128,8,high,389.43071875,14.2469765625,27.334271032285905,50.385698,2.036256,24.74428460861503,16,1.708391939517869
CLEFIA_S0,practical,8,spectrum,256,8,natural,384.49159375,4.2206171875,91.0984286584271,98.825701,1.296891,76.20201003785206,16,5.6936517911516935
CLEFIA_S1,practical,8,max,1280,8,high,8.87254609375,0.80512421875,11.020095889706461,11.401011,1.064337,10.71184314742417,8,1.3775119862133076
CLEFIA_S1,practical,8,max,1664,8,natural,9.037265625,0.26318028846153846,34.33868728478394,15.139215,0.472232,32.05885031086415,8,4.292335910597992
CLEFIA_S1,practical,8,min,256,8,static,341.71080078125,5.23904296875,65.2238973452779,87.904099,1.385107,63.46376056145843,32.0,2.0382467920399345
CLEFIA_S1,practical,8,spectrum,128,8,high,386.617203125,14.54625,26.578479204262266,50.110886,2.072747,24.1760745522729,16,1.6611549502663916
CLEFIA_S1,practical,8,spectrum,256,8,natural,375.94891015625,4.57722265625,82.1347219460491,96.756063,1.381824,70.02054024246213,16,5.133420121628069
MISTY1_FI_key0000,practical,16,max,6,16,high,5117.6425,206.98466666666667,24.72474209039639,44.272607,14.553772,3.0420022383200727,16,1.5452963806497744
MISTY1_FI_key0000,practical,16,max,110,16,natural,5112.5569000000005,100.0151,51.1178502046191,575.576249,24.306235,23.680189424647622,16,3.194865637788694
MISTY1_FI_key0000,practical,16,min,2,16,static,16423872.232,6384.4315,2572.487813832759,49276.92678,28.023219,1758.4320623551491,4096.0,0.6280487826740134
MISTY1_FI_key0000,practical,16,spectrum,2,16,high,16440688.6105,651256.504,25.244567247346833,49329.628562,13838.708507,3.56461215561031,32,0.7888927264795885
MISTY1_FI_key0000,practical,16,spectrum,2,16,natural,16553996.407,74531.252,222.1081219325284,49649.392996,12741.025633,3.8968128960831208,32,6.940878810391513
MISTY1_S9,practical,9,max,640,9,high,17.8543765625,1.6985359375,10.51162720099939,11.545523,1.218076,9.478491489857776,9,1.167958577888821
MISTY1_S9,practical,9,max,2688,9,natural,20.236246279761904,0.32828050595238095,61.64315551133363,54.461413,0.949042,57.38567207773734,9,6.849239501259293
MISTY1_S9,practical,9,min,128,9,static,714.9525,16.009125,44.659061628914756,92.744381,2.122896,43.687670521777804,56.888888888888886,0.7850225676957673
MISTY1_S9,practical,9,spectrum,128,9,high,939.76346875,47.8659375,19.63324062648935,121.117297,6.970532,17.37561738472759,18,1.0907355903605194
